,Lag,Cor
0,-60.0,0.22573105024253437
1,-59.0,0.22356180928799882
2,-58.0,0.22183698151762138
3,-57.0,0.21983589649369384
4,-56.0,0.21654254701090794
5,-55.0,0.21088837487048998
6,-54.0,0.2020655806425202
7,-53.0,0.18981280033050366
8,-52.0,0.1745619503518341
9,-51.0,0.15736902787375126
10,-50.0,0.13963391268973746
11,-49.0,0.12271584981327477
12,-48.0,0.10761712827781449
13,-47.0,0.09488716598962364
14,-46.0,0.08478733016974663
15,-45.0,0.07760706694531386
16,-44.0,0.07391988738150884
17,-43.0,0.07458034550605493
18,-42.0,0.08039597703817913
19,-41.0,0.091595973378897
20,-40.0,0.10735774263530835
21,-39.0,0.12566130191518202
22,-38.0,0.14360719840894481
23,-37.0,0.15812127935540074
24,-36.0,0.16678707013114544
25,-35.0,0.16848718527808879
26,-34.0,0.16362490987774297
27,-33.0,0.15387940799602573
28,-32.0,0.1416246369587141
29,-31.0,0.12923793463023894
30,-30.0,0.11852209657058502
31,-29.0,0.11039071598435053
32,-28.0,0.1048600600742208
33,-27.0,0.1012892238808674
34,-26.0,0.0987442433894003
35,-25.0,0.09634719583444447
36,-24.0,0.0935032982041186
37,-23.0,0.0899571568039261
38,-22.0,0.08569071721533832
39,-21.0,0.08072535390512865
40,-20.0,0.07492330667173765
41,-19.0,0.06789583818751689
42,-18.0,0.05910861145119006
43,-17.0,0.0482174509321573
44,-16.0,0.03556872030162548
45,-15.0,0.02268249692762212
46,-14.0,0.012456862400764754
47,-13.0,0.008852260449577645
48,-12.0,0.01597401634207204
49,-11.0,0.03674001407173654
50,-10.0,0.07158978169201752
51,-9.0,0.11780825933361931
52,-8.0,0.1698887838876027
53,-7.0,0.2209557240294295
54,-6.0,0.26477424318617687
55,-5.0,0.2975538072816736
56,-4.0,0.3188095922228893
57,-3.0,0.3309811802975817
58,-2.0,0.3380842514595208
59,-1.0,0.34406285893320554
60,0.0,0.3515253959289905
61,1.0,0.3612444416071809
62,2.0,0.3724059052113268
63,3.0,0.38331701235239857
64,4.0,0.3922046040235838
65,5.0,0.3978159194974569
66,6.0,0.3996882723070168
67,7.0,0.3981036404391566
68,8.0,0.3938403500059196
69,9.0,0.3878620048162859
70,10.0,0.38105672247003936
71,11.0,0.37408516126697716
72,12.0,0.36734158092190133
73,13.0,0.3609965022724541
74,14.0,0.35507773866840725
75,15.0,0.3495536096341784
76,16.0,0.3443981348648314
77,17.0,0.33963358732512666
78,18.0,0.3353553084709404
79,19.0,0.33174561020834314
80,20.0,0.329078995939906
81,21.0,0.3277126833353072
82,22.0,0.32804989630023773
83,23.0,0.3304658415860057
84,24.0,0.3352015044206452
85,25.0,0.34225259922396106
86,26.0,0.35129585188528384
87,27.0,0.36168963871910165
88,28.0,0.37256064983893333
89,29.0,0.3829555286057539
90,30.0,0.39201275652781115
91,31.0,0.3991052365399224
92,32.0,0.40391803414932026
93,33.0,0.40645097874017644
94,34.0,0.40696111739370916
95,35.0,0.40587503824734394
96,36.0,0.40370105139747814
97,37.0,0.4009590924921394
98,38.0,0.39813049115903487
99,39.0,0.39561931559761576
100,40.0,0.3937164880519983
101,41.0,0.3925658025522797
102,42.0,0.392141310477922
103,43.0,0.39225123304316867
104,44.0,0.39258032296092554
105,45.0,0.39277090388020186
106,46.0,0.3925274334272678
107,47.0,0.3917170779189402
108,48.0,0.39043510809119614
109,49.0,0.38901092908307694
110,50.0,0.38794579831680165
111,51.0,0.38779190628332394
112,52.0,0.38900024482259377
113,53.0,0.3917781829157175
114,54.0,0.39600221794008805
115,55.0,0.4012213609528383
116,56.0,0.40676050294243493
117,57.0,0.41189789459209275
118,58.0,0.4160603621291395
119,59.0,0.41896773391092884
