date,closest_ims,rain_mm
2020-12-27,259,0
2020-12-27,54,0
2020-12-27,59,0
2020-12-28,205,0
2020-12-28,44,0
2020-12-28,67,0
2020-12-28,78,0
2020-12-28,186,0
2020-12-28,42,0
2020-12-28,259,0
2020-12-28,54,0
2020-12-28,59,0
2020-12-29,205,0
2020-12-29,44,0
2020-12-29,67,0
2020-12-29,78,0
2020-12-29,186,0
2020-12-29,42,0
2020-12-29,259,0
2020-12-29,54,0
2020-12-29,59,0
