390.19,548.16,505.39,274.99
779.448,500.38,817.848,741.048
780.144,488.02,818.544,741.744
744.3839999999999,488.02,849.9839999999999,638.7839999999999
686.7879999999998,500.38,801.9879999999998,571.5879999999997
688.3959999999998,488.02,745.9959999999999,630.7959999999998
630.5559999999999,488.02,688.156,572.9559999999999
579.868,488.02,599.0680000000001,560.668
531.9639999999999,488.02,579.9639999999999,483.96399999999994
482.8539999999999,488.02,521.2539999999999,444.45399999999995
463.51,488.02,473.11,453.90999999999997
433.62999999999994,500.38,472.0299999999999,395.22999999999996
433.62999999999994,488.02,481.62999999999994,385.62999999999994
385.438,488.02,414.238,356.638
335.906,488.02,364.706,307.106
312.2659999999999,488.02,427.4659999999999,197.06599999999992
251.018,488.02,308.618,193.418
200.81,488.02,258.40999999999997,143.21
152.636,488.02,239.036,66.236
103.512,500.38,161.112,45.912000000000006
104.95200000000001,488.02,152.952,56.95200000000001
768.84,450.94,797.64,740.0400000000001
700.8,450.94,806.4,595.1999999999999
643.18,450.94,748.78,537.5799999999999
631.372,450.94,679.372,583.372
581.6199999999999,450.94,687.2199999999999,476.01999999999987
532.516,450.94,580.516,484.51599999999996
484.77399999999994,450.94,561.574,407.97399999999993
433.53399999999993,450.94,471.9339999999999,395.13399999999996
385.48600000000005,450.94,433.48600000000005,337.48600000000005
321.53,450.94,340.72999999999996,302.33
311.186,475.66,359.186,263.186
312.07399999999996,463.3,379.27399999999994,244.87399999999997
282.65,463.3,292.25,273.04999999999995
312.93799999999993,450.94,399.3379999999999,226.53799999999995
272.57,450.94,282.17,262.96999999999997
251.306,450.94,347.30600000000004,155.306
202.21999999999997,463.3,288.61999999999995,115.81999999999998
200.54000000000002,450.94,267.74,133.34000000000003
153.02,450.94,162.62,143.42000000000002
104.976,450.94,152.976,56.976
768.84,413.86,797.64,740.0400000000001
700.8,413.86,806.4,595.1999999999999
643.18,413.86,748.78,537.5799999999999
631.372,413.86,679.372,583.372
581.6199999999999,413.86,687.2199999999999,476.01999999999987
532.516,413.86,580.516,484.51599999999996
483.382,426.22,531.3820000000001,435.382
482.734,413.86,540.334,425.134
433.53399999999993,413.86,481.53399999999993,385.53399999999993
383.4459999999999,426.22,431.4459999999999,335.4459999999999
388.198,413.86,436.198,340.198
321.53,413.86,340.72999999999996,302.33
311.186,438.58,359.186,263.186
312.07399999999996,426.22,379.27399999999994,244.87399999999997
282.65,426.22,292.25,273.04999999999995
312.93799999999993,413.86,399.3379999999999,226.53799999999995
272.57,413.86,282.17,262.96999999999997
251.306,413.86,347.30600000000004,155.306
202.21999999999997,426.22,288.61999999999995,115.81999999999998
200.54000000000002,413.86,267.74,133.34000000000003
153.02,413.86,162.62,143.42000000000002
104.976,413.86,152.976,56.976
768.84,364.39,797.64,740.0400000000001
700.8,364.39,806.4,595.1999999999999
643.18,364.39,748.78,537.5799999999999
631.372,364.39,679.372,583.372
581.5479999999999,376.75,677.5479999999999,485.5479999999999
582.3639999999999,364.39,620.7639999999999,543.9639999999999
532.156,364.39,570.5559999999999,493.756
482.99799999999993,401.5,540.598,425.3979999999999
483.33399999999995,389.11,550.534,416.13399999999996
486.33400000000006,376.75,553.5340000000001,419.13400000000007
484.60599999999994,364.39,532.606,436.60599999999994
433.53399999999993,364.39,481.53399999999993,385.53399999999993
384.526,364.39,422.926,346.12600000000003
321.53,364.39,331.13,311.92999999999995
311.2339999999999,364.39,426.4339999999999,196.03399999999993
252.91400000000004,364.39,320.11400000000003,185.71400000000006
203.828,364.39,299.828,107.828
153.02,364.39,162.62,143.42000000000002
104.976,364.39,152.976,56.976
768.84,314.95,797.64,740.0400000000001
700.8,314.95,806.4,595.1999999999999
643.18,314.95,748.78,537.5799999999999
631.372,314.95,679.372,583.372
581.5479999999999,327.31,677.5479999999999,485.5479999999999
582.3639999999999,314.95,620.7639999999999,543.9639999999999
532.156,314.95,570.5559999999999,493.756
482.99799999999993,352.03,540.598,425.3979999999999
483.33399999999995,339.67,550.534,416.13399999999996
486.33400000000006,327.31,553.5340000000001,419.13400000000007
484.60599999999994,314.95,532.606,436.60599999999994
433.53399999999993,314.95,481.53399999999993,385.53399999999993
384.526,314.95,422.926,346.12600000000003
321.53,314.95,331.13,311.92999999999995
311.2339999999999,314.95,426.4339999999999,196.03399999999993
252.91400000000004,314.95,320.11400000000003,185.71400000000006
203.828,314.95,299.828,107.828
153.02,314.95,162.62,143.42000000000002
103.536,314.95,151.536,55.536
768.84,265.49,797.64,740.0400000000001
700.8,265.49,806.4,595.1999999999999
643.18,265.49,748.78,537.5799999999999
631.372,265.49,679.372,583.372
581.5479999999999,277.85,677.5479999999999,485.5479999999999
582.3639999999999,265.49,620.7639999999999,543.9639999999999
532.156,265.49,570.5559999999999,493.756
482.99799999999993,302.59,540.598,425.3979999999999
483.33399999999995,290.23,550.534,416.13399999999996
486.33400000000006,277.85,553.5340000000001,419.13400000000007
484.60599999999994,265.49,532.606,436.60599999999994
433.53399999999993,265.49,481.53399999999993,385.53399999999993
384.526,265.49,422.926,346.12600000000003
321.53,265.49,331.13,311.92999999999995
311.2339999999999,265.49,426.4339999999999,196.03399999999993
251.83400000000003,265.49,319.03400000000005,184.63400000000001
205.244,277.85,310.844,99.644
201.67399999999998,265.49,249.67399999999998,153.67399999999998
153.02,265.49,162.62,143.42000000000002
104.976,265.49,152.976,56.976
768.84,228.41,797.64,740.0400000000001
700.8,228.41,806.4,595.1999999999999
643.18,228.41,748.78,537.5799999999999
631.372,228.41,679.372,583.372
581.1159999999999,240.77,667.5159999999998,494.7159999999999
