סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_5,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
97 ,מרחביה )מושב( ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,797 ,59 ,138 ,287 ,102 ,92 ,119
98 ,כפר מל"ל ,42 ,פתח תקווה ,47 ,כפר סבא ,20 ,דרום השרון ,364 ,27 ,65 ,101 ,48 ,38 ,85
99 ,מצפה רמון ,62 ,באר שבע ,62 ,באר שבע ,0 , ,5744 ,625 ,1169 ,2313 ,535 ,426 ,676
102 ,מאיר שפיה ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל ,159 ,4 ,35 ,65 ,18 ,7 ,30
103 ,תל עדשים ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,1361 ,82 ,383 ,421 ,243 ,112 ,120
104 ,מזרע ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,1002 ,84 ,179 ,297 ,114 ,89 ,239
106 ,כפר גדעון ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,354 ,44 ,98 ,120 ,36 ,12 ,44
107 ,כפר סילבר ,61 ,אשקלון ,61 ,אשקלון ,36 ,חוף אשקלון ,115 ,6 ,14 ,49 ,26 ,12 ,8
112 ,כפר חסידים א' ,31 ,חיפה ,31 ,חיפה ,12 ,זבולון ,833 ,67 ,215 ,261 ,92 ,58 ,140
113 ,אדירים ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,336 ,24 ,72 ,111 ,52 ,30 ,47
115 ,חופית ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,1034 ,65 ,188 ,315 ,158 ,103 ,205
122 ,רמת ישי ,23 ,עפולה ,23 ,עפולה ,0 , ,8359 ,575 ,1766 ,2783 ,1103 ,726 ,1406
126 ,שריד ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,1172 ,60 ,275 ,296 ,180 ,101 ,260
127 ,רמת רחל ,11 ,ירושלים ,11 ,ירושלים ,26 ,מטה יהודה ,565 ,50 ,129 ,170 ,81 ,44 ,91
128 ,גת רימון ,42 ,פתח תקווה ,42 ,פתח תקוה ,20 ,דרום השרון ,258 ,17 ,50 ,73 ,44 ,16 ,58
130 ,משמר העמק ,23 ,עפולה ,23 ,עפולה ,13 ,מגידו ,1416 ,102 ,247 ,430 ,209 ,138 ,290
132 ,כפר ברוך ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,748 ,70 ,242 ,221 ,108 ,31 ,76
133 ,גבת ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,1066 ,91 ,252 ,276 ,168 ,61 ,218
134 ,יפעת ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,1281 ,71 ,313 ,365 ,214 ,88 ,230
135 ,רמת דוד ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,700 ,58 ,181 ,221 ,99 ,35 ,106
139 ,עין שמר ,32 ,חדרה ,32 ,חדרה ,14 ,מנשה ,960 ,71 ,201 ,309 ,108 ,66 ,205
140 ,כפר יהושע ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,1295 ,90 ,300 ,417 ,201 ,127 ,160
141 ,ברק ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,386 ,28 ,66 ,127 ,46 ,38 ,81
142 ,שדה יעקב ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,1107 ,90 ,329 ,353 ,139 ,64 ,132
143 ,בית זרע ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,814 ,45 ,138 ,281 ,98 ,55 ,197
144 ,גן שלמה ,44 ,רחובות ,44 ,רחובות ,28 ,ברנר ,638 ,51 ,163 ,190 ,87 ,39 ,108
145 ,גדיש ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,380 ,32 ,64 ,126 ,53 ,55 ,50
146 ,דבורה ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,328 ,28 ,67 ,103 ,33 ,30 ,67
147 ,גבעת ברנר ,44 ,רחובות ,44 ,רחובות ,28 ,ברנר ,2809 ,152 ,619 ,774 ,542 ,212 ,510
154 ,תל מונד ,41 ,השרון ,41 ,נתניה ,0 , ,15538 ,1063 ,3894 ,5067 ,2523 ,1447 ,1544
155 ,באר טוביה ,61 ,אשקלון ,61 ,אשקלון ,33 ,באר טוביה ,1297 ,83 ,366 ,390 ,190 ,108 ,160
156 ,עיינות ,44 ,רחובות ,44 ,רחובות ,27 ,גן רווה ,300 ,16 ,18 ,241 ,12 ,6 ,7
157 ,עין ורד ,41 ,השרון ,41 ,נתניה ,18 ,לב השרון ,1687 ,88 ,427 ,509 ,302 ,136 ,225
158 ,נען ,43 ,רמלה ,43 ,רמלה ,30 ,גזר ,2000 ,146 ,464 ,647 ,279 ,118 ,346
159 ,בית חנן ,44 ,רחובות ,44 ,רחובות ,27 ,גן רווה ,663 ,49 ,108 ,201 ,99 ,66 ,140
160 ,חולדה ,43 ,רמלה ,43 ,רמלה ,30 ,גזר ,1203 ,78 ,403 ,320 ,229 ,54 ,119
162 ,חירות ,41 ,השרון ,41 ,נתניה ,18 ,לב השרון ,1365 ,59 ,334 ,412 ,236 ,155 ,169
163 ,תימורים ,61 ,אשקלון ,61 ,אשקלון ,33 ,באר טוביה ,842 ,52 ,136 ,292 ,107 ,124 ,131
164 ,מלאה ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,377 ,27 ,80 ,134 ,49 ,31 ,56
165 ,ניר יפה ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,713 ,44 ,205 ,225 ,121 ,28 ,90
166 ,גן יבנה ,44 ,רחובות ,44 ,רחובות ,0 , ,24988 ,1508 ,6006 ,8800 ,3908 ,2380 ,2386
167 ,עין החורש ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,1019 ,62 ,212 ,301 ,146 ,69 ,229
168 ,כפר יונה ,41 ,השרון ,41 ,נתניה ,0 , ,29397 ,2771 ,6867 ,10322 ,3938 ,2195 ,3304
170 ,כפר יעבץ ,41 ,השרון ,41 ,נתניה ,18 ,לב השרון ,706 ,69 ,159 ,248 ,83 ,68 ,79
171 ,פרדסיה ,41 ,השרון ,41 ,נתניה ,0 , ,8280 ,704 ,1797 ,2878 ,945 ,784 ,1172
173 ,גבעת חיים )מאוחד( ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,1251 ,74 ,243 ,372 ,202 ,89 ,271
174 ,נטעים ,44 ,רחובות ,44 ,רחובות ,27 ,גן רווה ,810 ,51 ,155 ,271 ,136 ,94 ,103
175 ,אביחיל ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,1422 ,86 ,328 ,409 ,207 ,120 ,272
176 ,אפיקים ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,1402 ,63 ,248 ,407 ,210 ,114 ,360
177 ,כפר ביל"ו ,44 ,רחובות ,44 ,רחובות ,30 ,גזר ,1190 ,86 ,241 ,373 ,158 ,135 ,197
178 ,רמת יוחנן ,31 ,חיפה ,27 ,קריות ,12 ,זבולון ,1253 ,116 ,235 ,456 ,130 ,106 ,210
182 ,אבן יהודה ,41 ,השרון ,41 ,נתניה ,0 , ,15325 ,873 ,3871 ,4574 ,2499 ,1205 ,2303
183 ,ירקונה ,42 ,פתח תקווה ,47 ,כפר סבא ,20 ,דרום השרון ,379 ,14 ,58 ,124 ,69 ,53 ,61
