מרצדס
אלפא רומיאו
קיה
פיאט
טויוטה
שברולט
קרייזלר
יונדאי
פורד
הונדה
פורשה
סוזוקי
פיג'ו
פיגו,פיג'ו
לקסוס
דייהטסו
מזארטי
רנו
סאנגיונג
פולקסווגן
סובארו
סיאט
ניסאן
אופל
וולבו
סיטרואן
אאודי
פולקסווגן
ב מ וו,BMW
מיצובישי
מזדה
דאציה
סקודה
ביואיק
פרארי
לנציה
קאדילאק
לנצ'יה,לנציה
סמארט
דימלרקריזלר
סאאב
דייהו
יגואר
האמר
רובר
אסטון מרטין
אודי,אאודי
ואז
ג'יפ
דודג'
לינקולן
די.אס,DS
גרייט וול
פונטיאק
מ.ג,MG
אל אי וי סי,LEVC
גיי.איי.סי,GAC
אמ.סי.סי.,MCC
טסלה
בנטלי
גילי,Geely
סקיוול
אף אי דאבל יו,FAW
די אס,DS
איווייס,Aiways
גי.אי.סי,GAC
מקסוס
סרס
בי ווי די,BYD
קארמה
צ'רי
לינק אנד קו
ליפמוטור
אל.טי.איי.,LTI
וואי,WEY
פולסטאר
ג'.מ,GM
לנדרובר
וויה,Voyah
ג'י.אמ.סי,GMC
די.אף.אס.קיי,DFSK
אורה
איויאיסי,EVEASY
מרוטי-סוזוקי,סוזוקי
איסוזו
פיאג'ו איטליה,פיאגיו
ניאו רכב סין,ניאו סין
