אדום
כחול
ירוק
צהוב
סגול
תכלת
ורוד
כתום
חום
שחור
לבן
אפור
זהב
כסף
זית
שנהב לבן,לבן
בז
כסוף,כסף
קפה,חום
ירקרק,ירוק
זית,ירוק
זהוב,זהב
נחושת
